,Food_Code,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Dietetic jelly (low cal sweetener),91405000,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.05659,0,0,0,0,0,0,0,0,24.816,0.00376
All-fruit preserves (no added sugar),91406500,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.0753,0,0,0,0,0,0,0,0,36.6,0.012
Jam or preserves (low sugar),91406600,1,1,Tablespoon,1,0.5,0.5,0,0,0,0,0,0,0,0.0753,0,0,0,0,0,0,21.71765,0,25.702,0.00127
Popsicle,91611000,1,1,single stick,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.36,0,63.36,0
Sugar-free popsicle (diet),91611100,1,1,single stick,1,0.5,0.5,0.2684,0,0,0,0,0,0,0.01232,0,0,0,0,0.00782,0,0,0,16.72,0.0176
Slurpee or snow cone,91621000,1,1,medium (16 fl oz),1,0.5,0.5,0,0,0,0,0,0,0,0.04634,0,0,0,0,0,0,417.27854,0,423.68,0
Chocolate-covered almonds,91701010,1,1,almond,1,1,1,0,0,0,0,0,0,0,0,0.0036,0.14814,0,0,0.1832,1.03626,1.5716,0,17.01,0.2097
Tootsie roll,91703010,1,1,roll,1,0.5,0.5,0,0,0,0,0,0,0,0,0.05215,0,0,0,0.42692,2.30265,97.14935,0,139.3,0.427
Caramel candy,91703020,1,1,piece,1,1,1,0,0,0,0,0,0,0,0,0.0287,0,0,0,0.12314,0.06426,15.05169,0,26.74,0.4606
Twix cookie bars,91703200,1,1,regular package,1,0.25,0.25,0.38802,0,0,0,0,0,0,0,0.1073,0,0,0,2.38084,30.1455,101.75849,0,289.42,5.162
Yellow corn (corn on the cob),75216171,2,1,medium ear,1,0.5,0.5,0,0,0.61,0,0,0.61,0,0,0,0,0,0,0,0,0,0,107,0.19
Cooked eggplant,75217010,1,0.5,"cup, diced",0.5,0.25,0.5,0,0,0.50016,0,0,0,0.50016,0,0,0,0,0,0,0,0,0,35,0.0384
Cooked mushrooms,75219011,1,0.5,cup,0.5,0.25,0.5,0,0,0.49998,0,0,0,0.49998,0,0,0,0,0,0,0,0,0,21.84,0.0468
Vegetable combo (Asian style),75340010,1,0.5,cup,0.5,0.25,0.5,0,0,0.49975,0,0.15049,0.06414,0.28575,0,0,0,0,0,0,0,0,0,23.495,0.0235
Vegetable-pasta combo with cream sauce,75340160,1,0.5,cup,0.5,0.25,0.5,0.24138,0,0.39204,0.10206,0.10206,0.08505,0.10287,0,0.07371,0,0,0,0,33.76728,0,0,84.24,1.0206
Tofu and vegetables (Monk's food),75340200,1,0.5,cup,0.5,0.25,0.5,0,0,0.68244,0,0,0.3243,0.3572,0,0,0,0.72098,0,0,0,0,0,83.66,0.28764
Chiles rellenos,75410500,1,1,chili,1,0.5,0.5,0,0,0.49621,0,0,0,0.49621,0,1.16259,0.58344,0,0,0,252.26487,0,0,364.65,12.4982
Corn pudding (scalloped corn),75411010,1,0.5,cup,0.5,0.25,0.5,0,0,0.40981,0,0,0.40981,0,0,0.11663,0.35096,0,0,0,35.7273,5.66972,0,128.4,1.4552
Corn fritter,75411020,1,1,fritter,1,1,1,0.84735,0,0.1085,0,0,0.1085,0,0,0.02695,0.1085,0,0,0,61.0533,0,0,131.95,1.575
Eggplant Parmesan,75412060,1,1,cup,1,0.25,0.25,0.52866,0,1,0,0,0,1,0,0.9504,0.08316,0,0,0,191.45808,0,0,316.8,9.0288
"Stuffed mushrooms (bread, meat & cheese)",75414020,1,1,stuffed cap,1,1,1,0.38976,0,0.29856,0,0,0,0.29856,0.00552,0.07872,0.0288,0.00192,0,0.00128,29.59848,1.45506,0,67.44,0.996
Breaded fried mushrooms,75414030,1,0.5,cup,0.5,0.25,0.5,0.51858,0.14204,0.51188,0,0,0,0.51188,0,0.02881,0.04556,0,0,2.32386,3.70845,8.78838,0,148.07,1.4874
Fried okra,75414500,1,0.5,cup,0.5,0.25,0.5,0.2898,0.07912,0.28566,0,0,0,0.28566,0,0.0161,0.0253,0,0,1.29802,2.07,4.90481,0,86.94,0.828
Onion rings,75415020,1,1,fast food order,1,0.25,0.25,0.49536,0.13588,0.35174,0,0,0,0.35174,0,0.02752,0.043,0,0,2.22033,3.54492,8.38706,0,157.38,1.419
Pea salad,75416500,1,0.5,cup,0.5,0.25,0.5,0,0,0.4815,0,0,0.45261,0.02782,0,0,0.26857,0,0,4.27762,6.40395,0.01739,0,250.38,3.3705
Breaded fried summer squash,75418010,1,0.5,cup,0.5,0.25,0.5,0.6413,0.1749,0.5,0,0,0,0.5,0,0.0363,0.0561,0,0,2.8732,4.5837,10.8528,0,184.8,1.848
Breaded fried vegetable sticks,75440170,1,1,stick,1,1,1,0.252,0.04452,0.05292,0.01652,0,0.01568,0.02072,0,0.00042,0,0.00154,0,0,9.17658,0.16156,0,28.7,0.1694
Vegetable tempura,75440200,1,1,piece,1,1,1,0.06272,0,0.03612,0.00413,0,0,0.03199,0,0,0.02142,0,0,0,5.69646,0,0,11.27,0.1407
Vegetable-pasta combo,75460700,1,0.5,cup,0.5,0.25,0.5,0.29318,0,0.39319,0.06987,0.0733,0.1096,0.13974,0,0,0,0,0,0,0,0,0,52.745,0.04795
Pickled beets,75500210,1,0.25,cup,0.25,0.25,1,0,0,0.25012,0,0,0,0.25012,0,0,0,0,0,0,0,10.28724,0,26.6175,0.00845
Corn relish,75501010,1,0.25,cup,0.25,0.25,1,0,0,0.2499,0,0,0.13414,0.11576,0,0,0,0,0,0.10719,0,1.1417,0,50.8375,0.04839
Kim chee (made from cabbage),75502520,1,0.25,cup,0.25,0.25,1,0,0,0.25013,0,0,0,0.25013,0,0,0,0,0,0,0,0,0,7.875,0.01125
Dill pickle,75503010,1,1,spear,1,1,1,0,0,0.2097,0,0,0,0.2097,0,0,0,0,0,0,0,0,0,5.4,0.015
Pickle relish,75503020,1,1,packet (2 teaspoons),1,1,1,0,0,0.0408,0,0,0,0.0408,0,0,0,0,0,0,0,1.31657,0,13,0.006
Sweet pickle (gherkin),75503040,1,5,slices,5,1,0.2,0,0,0.1875,0,0,0,0.1875,0,0,0,0,0,0,0,3.9741,0,35.1,0.021
Horseradish,75503090,1,1,Tablespoon,1,0.5,0.5,0,0,0.06255,0,0,0,0.06255,0,0,0,0,0,0,0,0,0,7.2,0.0135
Mustard,75506010,1,1,teaspoon,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.008
Green olives,75510010,1,5,small,0.5,1,0.2,0,0,0.10904,0,0,0,0.10904,0,0,0,0,0,0,0,0,0,21.025,0.29435
Black olives,75510020,1,5,small,0.5,1,0.2,0,0,0.12597,0,0,0,0.12597,0,0,0,0,0,0,0,0,0,17.85,0.2142
Tabasco sauce (hot sauce),75511010,1,1,packet,1,1,1,0,0,0.03794,0,0,0,0.03794,0,0,0,0,0,0,0,0,0,1.86,0.00093
Cream of mushroom soup (made with milk),75607010,1,1,cup,1,0.5,0.5,0.51584,0,0.32488,0,0,0,0.32488,0,0.50344,0,0.00496,0,0,103.98888,0,0,190.96,4.0424
French onion soup,75608100,1,1,cup,1,0.5,0.5,0.02169,0,0.31812,0,0,0,0.31812,0,0,0,0.01205,0,0,14.40216,0.78344,0,57.84,0.2651
Vegetable soup,75649010,1,1,cup,1,0.5,0.5,0.00482,0,0.4338,0.07953,0,0.35186,0,0,0,0,0.00241,0,0,0,0.35255,0,81.94,0.4338
Minestrone soup,75651010,1,1,cup,1,0.5,0.5,0.11568,0,0.3856,0.0723,0.00482,0.09881,0.21208,0,0,0,0.01928,0.06266,0.19441,10.88838,0,0,84.35,0.5302
Vegetable rice soup,75651070,1,1,cup,1,0.5,0.5,0.51815,0,0.63383,0.08435,0,0.08917,0.46031,0,0,0,0,0,0,0,2.70288,0,106.04,0.2651
Vegetable beef soup (canned),75651020,1,1,cup,,0.5,0.5,0.07076,0.07076,0.39772,0.14396,0,0.17812,0.07564,0,0,0.38064,0.00244,0,0.69052,0.72468,0,0,78,0.854
Vegetable beef soup (homemade),75652010,1,1,cup,1,0.5,0.5,0,0,0.5092,0.03068,0,0.2638,0.21472,0,0,1.06763,0,0,0,72.81333,0,0,228.95,4.4344
Vegetable broth,75657000,1,1,cup,1,0.5,0.5,0.0288,0,0.012,0,0,0,0.012,0,0,0,0.06,0,0,0.1296,2.14553,0,16.8,0
Wrap sandwich (vegetables only),77300000,1,1,wrap,1,0.25,0.25,3.55992,0,1.1193,0.15015,0,0,0.96642,0,0,0,0,0,0.03003,16.25169,0,0,472.29,7.88424
Butter,81101000,1,1,pat (1 teaspoon),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.85,0,0,35.85,2.5685
Whipped butter,81101010,1,1,pat (1 teaspoon),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.246,0,0,27.246,1.91862
